Month,City,Street,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Credit_Score,Has_Payday_Loan,Has_Credit_Builder_Loan,Has_Not_Specified_Loan,Has_Home_Equity_Loan,Has_Mortgage_Loan,Has_Personal_Loan,Has_Student_Loan,Has_Debt_Consolidation_Loan,Has_Auto_Loan,Has_Missing_Loan
June,Lonton,Downing Street,27.333333333333332,Scientist,85667.7,6966.975,2.0,3.666666666666667,7.0,2.0,14.0,13.000000000000002,5.586666666666667,2.6666666666666665,Good,1457.34,32.76172366,19.86111111111111,NM,219.5328073,3,0,0,0,0,0,0,0,0,0,1
April,Lonton,Downing Street,28.666666666666664,Doctor,28337.759999999995,2132.48,0.0,5.0,1.0,1.0,5.0,397.99999999999994,-3.7699999999999996,3.0,Good,680.16,26.89619139,29.666666666666668,No,272.5156796,3,0,0,0,0,0,0,0,0,0,1
February,Standhampton,Fleet Street,41.0,Teacher,18817.940000000002,2058.2936113333335,6.0,5.333333333333333,5.0,3.0,24.0,17.0,16.62,5.0,Standard,649.26,25.48480671,6.5,Yes,52.827014399999996,2,0,0,0,0,1,1,0,0,0,0
April,Standhampton,High Street,35.0,Journalist,101641.13999999998,8283.095,5.0,3.0,13.0,3.0,24.333333333333332,17.0,19.97,7.333333333333334,_,811.7399999999999,35.96211881,13.416666666666666,NM,315.2491292066667,2,0,0,0,0,0,0,0,0,0,1
May,BadShire,River Street,29.0,Mechanic,10439.970000000001,1318.7408333333337,9.0,5.0,25.0,9.0,35.0,23.0,11.21,8.0,_,4473.82,31.769175606666668,7.222222222222221,NM,55.880333740000026,1,1,1,1,1,1,1,0,0,1,0
April,Standhampton,Imperial Street,22.666666666666664,Unknown,44820.08,3497.4666666666667,3.3333333333333335,5.0,15.0,1.0,24.0,9.0,11.39,6.0,_,361.4699999999999,25.00191034,20.333333333333332,Yes,354.5232169,2,0,0,0,0,0,0,1,0,0,0
May,BadShire,Oak Street,40.0,Writer,19338.479999999996,1633.54,4.0,7.666666666666666,30.0,4.666666666666666,27.0,17.0,15.84,7.0,Standard,1566.3300000000002,36.45540866,19.666666666666668,Yes,34.25761537999989,1,0,1,1,0,1,0,1,0,0,0
July,Unknown,Unknown,30.0,Developer,46581.08333333334,4517.523333,3.0,7.0,4.666666666666668,0.0,13.0,12.666666666666666,-1.7599999999999998,3.0,Good,612.46,32.80933197,20.333333333333332,NM,120.63579650000003,3,0,0,0,0,0,0,0,0,0,1
April,Unknown,Unknown,33.0,Writer,28121.57333333332,6952.027222000001,5.0,6.0,9.0,0.0,10.0,9.0,5.06,3.0,Good,751.4933333333333,36.56118007,23.5,No,87.20654321,1,0,0,0,0,0,0,0,0,0,1
January,BadShire,King Street,28.0,Student,16054.149999999994,1196.8458330000003,8.0,7.0,28.333333333333336,8.0,24.666666666666664,18.0,20.12,10.666666666666668,Bad,4121.53,27.45652969,9.833333333333334,Yes,54.23538248,1,1,1,1,0,0,1,0,1,1,0
July,Lonton,Abbey Drive,52.0,Lawyer,33346.92,3222.618612333333,5.0,4.333333333333334,1.0,0.0,7.000000000000002,8.0,3.8200000000000003,0.0,Good,396.63,32.11174172,16.333333333333332,No,134.46097042666662,3,0,0,0,0,0,0,0,0,0,1
Unknown,Standhampton,Unknown,31.333333333333332,Unknown,96201.91,3578.500833,5.0,3.0,5.0,3.6666666666666665,1.0,4.0,6.72,0.666666666666667,_,812.81,27.55337218,26.5,No,59.71066424999998,2,0,0,0,0,1,1,0,1,0,0
June,Standhampton,Grove Street,45.333333333333336,Unknown,31705.42666666665,2980.381667,6.0,6.0,14.0,2.0,18.0,15.0,13.436666666666667,12.0,_,974.34,28.142636359999997,20.083333333333332,Yes,166.6405959,2,1,0,0,1,0,0,0,0,0,0
June,Standhampton,Old Street,29.666666666666668,Journalist,38218.3,3275.858333,5.333333333333333,3.0,13.0,5.0,18.0,8.0,18.78,13.0,_,1300.39,28.714412276666668,19.083333333333332,Yes,181.9025568,2,1,0,1,1,0,0,0,1,0,0
April,Standhampton,Trafalgar Street,15.0,Writer,49343.65000000001,2275.8755556666665,8.0,6.0,16.0,2.0,15.0,14.333333333333334,8.29,4.0,Standard,1047.8333333333333,30.430278763333334,9.916666666666666,NM,47.92864519999995,2,1,0,0,0,0,1,0,0,0,0
July,Standhampton,Imperial Street,37.0,Journalist,29964.040000000008,2420.0033330000006,6.0,3.0,12.0,3.0,12.0,10.999999999999998,7.803333333333334,4.0,_,116.3900000000001,38.63957033,33.416666666666664,No,324.6435127,2,0,1,1,0,0,0,0,0,1,0
April,BadShire,Main Street,24.0,Artist,14906.559999999998,1360.2133330000001,6.0,6.0,20.0,2.0,39.0,19.0,7.63,10.333333333333334,Standard,2626.18,24.38067554,9.916666666666666,Yes,72.22309240999999,1,1,0,0,0,0,0,1,0,0,0
January,Standhampton,Jubilee Street,42.0,Journalist,32827.25,3499.888889,6.0,6.0,6.666666666666666,3.0,16.0,7.0,15.82,7.0,Standard,983.4733333333334,39.7599028,26.666666666666668,NM,257.59109563333334,2,1,0,1,1,0,0,0,0,0,0
June,Standhampton,Old Street,43.0,Architect,61532.33333333333,5071.655833333333,3.0,3.0,9.0,4.0,17.0,6.666666666666664,2.7200000000000006,4.0,_,580.94,31.68211598,21.38888888888889,No,133.57393083,2,1,1,1,0,0,0,0,0,0,0
June,Standhampton,Imperial Street,34.0,Teacher,19854.119999999995,5542.605,4.666666666666667,4.0,14.0,5.333333333333334,25.0,12.0,17.25,12.0,Standard,1213.8,35.28345389,10.083333333333334,NM,180.0714926,2,0,0,1,0,1,0,1,0,0,0
February,Standhampton,Fleet Street,35.0,Architect,27171.259999999995,2596.3868053333335,3.0,5.0,4.0,0.0,7.000000000000002,14.0,3.1799999999999997,2.0,Standard,896.47,38.24107566,16.0,NM,79.19802153,2,0,0,0,0,0,0,0,0,0,1
March,Standhampton,Jubilee Street,21.333333333333332,Unknown,31833.843333333338,4616.196667,7.0,5.666666666666667,28.0,6.0,16.0,19.0,19.22,7.0,Bad,3181.62,35.10108038,7.25,Yes,131.1147065,2,1,0,0,1,0,1,1,1,0,0
January,BadShire,Unknown,27.0,Artist,55593.98999999999,3080.6030556666665,7.0,6.0,22.0,6.333333333333333,17.0,15.666666666666666,16.09,11.0,Standard,1314.25,27.367205733333336,16.88888888888889,NM,132.7093319,1,1,0,0,1,0,0,1,1,1,0
March,Standhampton,Unknown,36.0,Teacher,37814.78,2708.0190276666667,5.0,5.333333333333333,8.333333333333334,2.3333333333333335,15.0,19.0,9.933333333333332,3.3333333333333335,_,242.47000000000003,36.307768616666664,26.25,Yes,50.10680294000002,2,0,0,0,1,0,0,0,1,0,0
January,Standhampton,Imperial Street,39.666666666666664,Teacher,36752.53333333334,2623.714167,4.0,7.0,20.0,1.0,21.0,16.0,13.81,4.0,Standard,885.7866666666666,38.08243423,32.25,Yes,206.10445780000003,2,0,0,0,0,0,0,0,0,0,1
July,Standhampton,Fleet Street,23.0,Architect,78059.36,5382.9797223333335,6.0,5.0,11.666666666666666,1.0,28.0,12.0,11.41,5.0,Standard,1220.42,38.65273875,25.5,Yes,142.9613261,2,0,0,0,0,0,0,1,0,0,0
March,BadShire,Main Street,28.0,Artist,17408.229999999996,1397.685833,6.0,3.0,16.0,6.666666666666666,14.666666666666668,12.0,14.51,8.0,_,1658.2,26.58285534,7.083333333333332,Yes,148.7258094666667,1,1,0,0,1,0,1,1,1,0,0
August,BadShire,Queen Street,39.0,Musician,17212.350000000006,1271.3624999999997,8.0,8.333333333333334,21.666666666666664,2.0,42.66666666666667,18.0,14.136666666666667,11.333333333333332,Bad,2427.44,30.761540059999998,12.416666666666668,Yes,129.17123356000002,1,0,0,1,1,0,0,0,0,0,0
March,BadShire,Oak Street,30.666666666666668,Student,47984.19,3718.6825,8.666666666666666,6.0,26.0,5.0,20.0,15.0,1.2699999999999996,12.0,Bad,1476.27,29.22295992,11.083333333333332,Yes,255.69469723333336,1,0,1,0,0,0,1,0,1,0,0
April,Standhampton,Pine Street,50.0,Journalist,71267.18,6167.931667,7.0,5.0,17.0,4.0,14.0,11.0,12.14,4.0,_,158.20000000000005,30.722480523333335,20.02777777777778,Yes,315.2405042666667,2,0,0,0,0,0,0,1,0,1,0
April,Standhampton,Pine Street,30.0,Teacher,7952948.353333334,3351.795,8.0,7.666666666666666,14.0,5.0,17.0,16.0,18.72,12.333333333333332,Bad,3546.25,32.74304492666667,8.416666666666666,Yes,154.30055542999997,2,0,1,0,0,0,1,1,0,1,0
February,Standhampton,Grove Street,38.0,Journalist,34361.47,2870.789167,1.0,7.0,5.0,3.3333333333333335,5.0,5.9999999999999964,7.493333333333333,2.0,_,730.0333333333334,22.88027762,21.166666666666668,NM,719.4126775,2,1,1,0,0,1,0,0,0,0,0
May,Standhampton,Unknown,25.0,Architect,16211.29333333332,1625.0,7.0,4.0,10.0,6.0,16.333333333333336,19.0,18.2,7.0,_,1443.38,34.87733189,16.194444444444443,Yes,64.43848032,2,0,0,1,1,1,1,1,0,0,0
Unknown,Unknown,King Street,23.0,Mechanic,11986.64833333333,1188.3499643333334,9.0,8.0,24.333333333333332,9.0,35.66666666666667,21.0,2.5699999999999994,6.0,_,3558.796666666666,26.593547383333334,13.277777777777779,Yes,103.40456725333343,1,0,1,1,1,1,1,0,0,1,0
June,BadShire,Pine Street,51.0,Architect,88221.16,7682.8222233333345,7.0,5.0,12.0,0.0,12.0,14.0,6.24,3.0,Standard,988.12,39.42848484,27.083333333333332,NM,235.9857844,1,0,0,0,0,0,0,0,0,0,1
February,Standhampton,Old Street,27.0,Journalist,55245.87999999999,9397.263332,3.0,4.666666666666667,12.0,2.3333333333333335,19.0,18.0,11.32,4.666666666666667,_,137.95000000000005,32.39754948,10.166666666666666,Yes,94.97114565999999,2,1,0,0,0,1,0,0,0,0,0
February,Standhampton,Unknown,25.0,Architect,9491.024999999994,3364.0844445666667,7.333333333333333,7.0,24.333333333333332,5.333333333333334,48.0,24.0,17.46,9.666666666666668,Bad,3377.4800000000005,28.05428566,6.166666666666668,Yes,97.66115966666666,2,0,0,0,0,0,0,0,0,0,1
April,BadShire,King Street,34.0,Musician,14634.100000000006,1406.5083330000002,9.333333333333332,7.0,25.666666666666668,6.0,33.0,18.333333333333336,3.2,12.0,Bad,2638.42,32.26750719,6.666666666666668,Yes,162.53307352000007,1,1,1,0,1,0,1,0,0,1,0
June,Standhampton,Jubilee Street,42.0,Journalist,27589.119999999995,4720.861111,4.0,4.333333333333334,15.0,1.0,20.0,21.0,-3.1099999999999994,1.333333333333333,_,99.32999999999993,27.05038692,24.02777777777778,No,267.7088744,2,0,0,0,0,0,0,0,1,0,0
January,Standhampton,Quality Street,20.666666666666668,Teacher,115661.32,6296.875555333333,8.0,3.0,13.0,3.0,13.666666666666668,18.0,10.786666666666667,2.0,Standard,59.91000000000008,36.11795178,24.72222222222222,No,202.85197850000003,2,0,0,1,1,0,0,0,0,0,0
February,Standhampton,Imperial Street,14.0,Journalist,30765.92166666666,3981.143472,5.0,4.333333333333333,5.0,1.0,10.0,8.0,4.569999999999999,4.0,Standard,1264.32,37.69540726666666,8.333333333333334,NM,90.08846783000001,2,0,0,0,0,0,0,1,0,0,0
March,Standhampton,New Street,38.0,Architect,26029.410000000003,1950.1175,3.0,7.0,12.0,2.0,13.333333333333332,18.0,7.279999999999999,0.0,Standard,412.13,36.39678897,25.0,No,78.77357364,2,0,1,0,0,0,0,1,0,0,0
Unknown,Lonton,Regent Street,32.0,Doctor,50109.760000000024,4354.813333,6.0,3.0,4.0,1.0,3.0,15.333333333333334,9.66,0.0,Good,397.65999999999997,32.80112256,16.0,No,424.8985021,3,0,0,0,0,0,1,0,0,0,0
February,Lonton,Canal Street,27.0,Entrepreneur,57838.06,4617.838333,3.0,4.0,8.0,2.0,8.0,10.0,4.736666666666666,2.0,Good,1362.1,36.91506385,23.833333333333332,No,479.1816067,3,1,0,0,0,0,0,1,0,0,0
August,BadShire,Park Street,50.0,Unknown,15606.515,8654.964166666667,3.0,4.0,6.0,4.0,7.000000000000002,3.0,7.486666666666666,2.0,Good,820.1966666666668,32.89989185333334,24.52777777777778,NM,49.83277716999993,1,0,0,0,0,0,1,1,0,0,0
July,Standhampton,Memory Street,18.0,Journalist,19966.309999999998,3156.6675000000005,6.0,9.0,28.666666666666664,9.0,36.0,20.333333333333332,27.36,8.666666666666666,Bad,2785.45,23.17183837,5.333333333333332,Yes,38.26159653999997,2,0,0,0,0,0,0,0,0,0,1
Unknown,Standhampton,Oxford Street,29.0,Accountant,40369.07000000001,3186.089167,0.0,3.666666666666667,10.0,0.0,9.0,4.666666666666668,2.9800000000000004,0.0,Good,570.51,30.12996266,27.666666666666668,No,109.59964552666673,2,0,0,0,0,0,0,0,0,0,1
Unknown,Unknown,High Street,35.0,Architect,36857.22,4178.8225,4.0,5.0,14.0,2.0,16.0,12.666666666666666,2.9000000000000004,6.0,Standard,1530.2133333333334,25.13289703,11.0,Yes,87.40962396999998,2,0,0,0,0,0,0,0,1,1,0
Unknown,BadShire,High Street,40.0,Teacher,68110.83,5469.9025,5.0,7.0,9.0,3.0,23.0,15.0,19.13,1.6666666666666665,Standard,147.76999999999998,30.460601,30.583333333333332,Yes,170.04521270000004,1,0,0,0,1,0,1,0,0,0,0
February,Standhampton,Memory Street,25.0,Architect,57391.99333333335,5752.934027666666,4.0,6.0,11.333333333333332,2.0,27.333333333333336,5.0,-2.6300000000000026,4.333333333333334,Good,838.2,29.11082343,32.138888888888886,No,185.48430559666662,2,1,0,0,0,0,0,0,0,1,0
June,Standhampton,Unknown,36.0,Journalist,65000.73000000001,3020.2579166666665,7.0,4.0,18.0,3.0,6.0,12.0,7.276666666666667,0.0,Standard,1346.77,29.77483951,29.083333333333332,Yes,10000.0,2,0,1,0,0,0,0,1,1,0,0
June,Standhampton,Old Street,40.0,Architect,20946.119999999995,1955.51,7.666666666666666,9.0,18.0,7.0,44.0,25.0,21.543333333333337,12.0,_,3292.603333333333,35.3600068,1.5,Yes,90.60267859000004,2,0,1,1,1,1,0,0,0,1,0
March,BadShire,Main Street,34.0,Artist,60574.48000000001,5338.873333,6.0,10.0,24.0,2.0,34.333333333333336,15.333333333333334,7.41,11.0,Standard,1304.08,30.12016782,8.222222222222221,Yes,275.44505100000003,1,0,0,0,0,1,0,0,0,1,0
May,Standhampton,Old Street,54.0,Architect,37171.29000000001,11263.457775666666,1.0,4.666666666666667,1.0,4.0,4.0,1.9999999999999964,4.48,2.333333333333333,_,103.81999999999994,32.40516103,32.25,No,224.30240539999997,2,0,0,0,0,0,1,0,0,1,0
June,Lonton,Abbey Drive,42.0,Developer,124534.38,6149.187916666667,1.0,1.0,5.666666666666664,3.0,0.0,6.333333333333336,9.55,1.0,_,757.38,33.95930696,17.833333333333332,No,235.12882449999998,3,0,0,0,0,0,0,0,0,0,1
Unknown,BadShire,North Street,45.0,Cleaner,56941.293333333335,6763.33,6.0,5.666666666666667,25.0,5.0,17.0,15.0,27.089999999999996,10.0,Bad,2679.69,36.31654196,11.083333333333334,NM,154.224916,1,1,1,0,0,0,1,1,1,0,0
August,Standhampton,High Street,27.333333333333332,Journalist,55448.73999999999,3579.0701389,7.0,4.0,12.0,1.0,14.0,15.333333333333334,18.42,4.0,Standard,1450.89,34.08500857,24.055555555555557,No,185.42861369999997,2,0,1,0,0,0,0,0,0,0,0
February,Unknown,North Street,31.666666666666668,Artist,20000.410000000003,2779.426111,2.0,5.0,5.0,1.333333333333333,17.0,1.9999999999999964,8.48,0.0,Good,446.56999999999994,26.73589981,25.22222222222222,NM,61.989693999999986,1,0,0,0,1,0,0,0,0,0,0
July,BadShire,Grove Street,21.0,Teacher,17650.246666666673,3416.265,3.0,7.0,21.333333333333332,4.0,20.0,16.0,14.62,7.0,_,2576.96,27.93961309,13.833333333333334,Yes,130.2843888033333,1,0,0,0,0,0,0,0,0,0,1
August,Standhampton,Old Street,50.0,Teacher,130169.92,11110.49333,5.666666666666667,6.0,17.0,1.0,24.0,12.0,6.616666666666667,2.0,Standard,354.31999999999994,34.62314385,33.333333333333336,Yes,172.0346351,2,0,0,0,0,0,0,0,1,0,0
June,Unknown,Trafalgar Street,25.0,Unknown,48416.54666666666,3340.786667,6.0,6.0,19.0,5.0,22.333333333333332,23.0,20.87,9.0,Bad,2704.743333333333,24.65409089,13.583333333333334,NM,61.69777109333336,2,1,0,1,1,1,0,1,0,0,0
Unknown,Standhampton,High Street,26.333333333333336,Architect,28000.21666666666,2201.3513886666665,6.0,5.0,18.333333333333332,6.0,33.333333333333336,25.0,23.5,11.0,Bad,885.7633333333333,27.70207748,10.416666666666666,Yes,219.13073400000002,2,1,0,0,1,0,0,0,1,0,0
June,Standhampton,Jubilee Street,27.666666666666668,Journalist,40826.053333333344,4511.6125,9.0,9.0,28.0,9.0,29.0,21.0,22.15,11.666666666666668,Bad,4468.81,32.09198164,6.25,Yes,143.3826557,2,1,1,1,0,1,1,1,1,1,0
Unknown,BadShire,Park Street,36.333333333333336,Student,17393.160000000003,1262.5786111000002,7.0,8.0,22.666666666666668,5.333333333333334,37.0,23.0,10.173333333333334,6.0,Bad,1396.22,38.93287173,15.333333333333334,Yes,10000.0,1,1,1,0,1,1,0,0,0,0,0
July,Lonton,Oxford Street,26.666666666666668,Engineer,69932.08,8583.71722,2.6666666666666665,2.333333333333333,7.0,0.0,17.0,5.0,9.25,3.3333333333333335,_,109.20000000000005,38.84155379,24.25,No,99.24065628,3,0,0,0,0,0,0,0,0,0,1
February,BadShire,Park Street,31.666666666666668,Student,18538.550000000003,1379.879167,6.666666666666667,8.0,33.0,8.666666666666666,45.0,20.0,1.040000000000001,10.0,Bad,3934.5299999999997,25.37129284,7.027777777777777,Yes,140.6299426,1,1,0,1,1,0,0,1,1,1,0
May,Lonton,High Street,29.0,Unknown,48833.436666666676,2430.4838886666666,2.333333333333334,4.0,2.0,2.0,15.0,20.0,10.62,5.333333333333333,Good,64.65000000000009,36.66751607,16.5,NM,150.26573526666664,3,1,0,0,0,1,0,0,0,0,0
July,Standhampton,Unknown,35.0,Musician,152666.61000000002,14816.94,4.333333333333334,5.0,8.0,3.6666666666666665,13.333333333333332,11.0,0.5400000000000009,3.666666666666667,Good,741.28,39.13772802,24.166666666666664,NM,185.90813880000002,2,0,1,0,0,1,1,0,0,1,0
Unknown,Lonton,Market Street,40.0,Doctor,46819.97,1911.833247,5.0,6.0,8.0,4.0,26.0,14.333333333333334,11.78,6.0,Good,1223.3,34.325336136666664,29.25,NM,17.494294519999983,3,1,0,0,0,1,0,0,1,0,0
July,Lonton,Penny Lane,36.0,Developer,44599.14,4355.599722,0.0,7.0,4.0,3.0,9.333333333333334,4.0,9.99,4.0,Good,357.89666666666653,30.35618249,23.75,No,149.41898938333333,3,0,0,0,0,0,0,0,0,0,1
April,Standhampton,Unknown,19.0,Journalist,31323.263333333307,2728.6052778666667,9.0,5.0,23.333333333333336,6.0,27.666666666666668,22.0,18.366666666666667,8.0,_,3834.040000000001,33.18466639,0.9166666666666679,Yes,117.48675070000002,2,1,1,0,0,0,1,0,0,1,0
February,Standhampton,New Street,19.0,Journalist,16931.699999999997,1656.975,8.0,5.0,23.0,3.0,42.0,16.666666666666668,6.496666666666666,11.666666666666668,_,1557.41,33.07901428,16.333333333333332,Yes,24.47913133000003,2,0,0,0,0,0,1,1,1,0,0
August,BadShire,Oak Street,26.0,Cleaner,78417.44,4597.414444666667,7.333333333333333,10.0,19.333333333333332,5.0,22.0,10.0,19.35,12.0,Standard,1656.54,35.661247456666665,17.36111111111111,Yes,238.06045282666665,1,0,1,1,0,1,1,0,0,0,0
Unknown,BadShire,Oak Street,36.0,Cleaner,18125.809999999998,2632.3725001000003,10.0,9.0,21.666666666666664,6.0,47.0,23.0,10.506666666666666,10.333333333333332,Bad,2431.96,25.28273681,13.416666666666666,Yes,133.91041330000002,1,1,1,1,0,1,1,1,0,0,0
March,Lonton,Baker Street,37.333333333333336,Media_Manager,37419.7,4759.055277666666,4.333333333333334,7.0,5.0,4.0,8.666666666666668,4.0,6.49,0.0,Good,653.66,25.87512095,21.833333333333332,No,3442.7931721,3,0,0,0,0,0,0,1,1,1,0
Unknown,Standhampton,Fleet Street,18.0,Teacher,24883.00999999998,1828.5841670000002,4.0,5.0,8.333333333333334,3.0,23.666666666666664,19.0,8.046666666666667,2.6666666666666665,_,646.05,23.96372288,15.333333333333334,Yes,143.7803899333333,2,0,0,0,0,1,0,1,0,0,0
June,BadShire,Memory Street,39.0,Teacher,42087.20833333333,7869.4025,3.0,4.0,20.0,4.333333333333333,24.0,9.0,14.566666666666666,5.0,Standard,449.87,40.22368936,14.972222222222221,Yes,273.5828814166666,1,0,1,0,0,1,1,0,0,1,0
March,Lonton,Penny Lane,23.0,Accountant,15604.244999999995,1554.3537499999998,4.0,3.0,11.0,1.0,18.333333333333332,8.0,1.6400000000000006,0.0,Good,1065.71,25.92006495,27.916666666666668,No,88.91313113000001,3,0,0,0,0,0,0,0,0,0,1
April,BadShire,River Street,41.0,Musician,9920.794999999998,2680.8543055666664,9.666666666666668,9.0,32.0,8.666666666666668,33.0,19.0,26.053333333333335,9.0,Bad,2872.19,30.13230299,6.0,NM,48.35993380999997,1,1,1,1,1,0,0,0,1,1,0
May,BadShire,Fleet Street,41.0,Journalist,14471.61,1021.9675000000002,8.0,7.666666666666666,25.0,7.0,33.0,19.666666666666668,28.64,9.0,Bad,3332.8,29.32384833,9.666666666666666,NM,56.985499249999975,1,1,1,1,1,0,0,1,0,1,0
June,Standhampton,Canal Street,28.0,Scientist,158952.84,13056.07,5.0,3.0,2.0,1.0,3.0,11.0,16.003333333333334,3.0,Good,962.3533333333332,35.17613706,23.97222222222222,NM,110.75365319999997,2,0,0,0,0,0,0,0,0,0,1
February,BadShire,Queen Street,47.0,Artist,27608.783333333326,5475.693333,1.0,3.0,5.0,3.0,29.0,8.0,16.54,4.0,Good,1288.31,31.89226431,16.416666666666668,No,111.06013156666666,1,1,0,0,1,0,0,0,1,0,0
April,Unknown,Fleet Street,38.0,Teacher,56021.76000000001,4022.370277666667,5.0,7.0,18.0,2.0,9.0,20.0,0.9800000000000004,2.333333333333333,Standard,1496.77,30.22234399,26.72222222222222,NM,367.3672456,2,0,1,0,0,0,0,0,1,0,0
June,BadShire,Trafalgar Street,29.0,Artist,16440.630000000005,1105.0524999999998,3.0,8.0,28.0,7.0,22.0,13.000000000000002,16.87,6.0,Standard,1946.81,23.89877638,9.5,Yes,125.79196542,1,0,0,0,0,0,0,0,0,0,1
June,Standhampton,Imperial Street,32.0,Unknown,26625.58,5239.085555333333,6.0,6.0,9.0,6.0,13.333333333333332,8.0,12.01,4.0,Standard,1317.79,31.80858881,10.833333333333334,Yes,160.40606337999998,2,0,1,1,0,0,0,0,0,1,0
January,Standhampton,Memory Street,24.0,Architect,25253.71666666666,1624.5656944333332,4.0,5.333333333333333,17.0,1.0,9.0,15.0,6.8566666666666665,6.666666666666667,Standard,896.92,33.36259023,26.361111111111114,Yes,62.10991942999999,2,0,0,0,0,0,0,0,1,0,0
January,Standhampton,Unknown,41.0,Journalist,47817.32000000001,3814.776667,3.0,6.0,8.0,1.0,7.000000000000002,10.0,7.196666666666667,4.0,Standard,180.52999999999997,38.0969621,24.11111111111111,Yes,145.16447369999997,2,0,0,0,0,0,1,0,0,0,0
February,Standhampton,Pine Street,30.0,Architect,24821.360000000015,3390.308055666667,4.0,5.0,7.0,1.333333333333333,17.0,20.0,4.456666666666667,3.0,Standard,298.8799999999999,25.30758819,23.86111111111111,No,114.99365790000002,2,0,0,0,0,0,0,0,0,0,1
July,Standhampton,North Street,29.0,Artist,20000.410000000003,4905.623194666667,2.0,4.0,5.0,1.0,12.0,1.0,1.4800000000000004,0.0,Good,446.56999999999994,30.35858127,20.416666666666668,No,174.4727335,2,0,0,0,0,0,0,0,0,0,1
January,Standhampton,Quality Street,26.0,Teacher,39890.28,3561.19,3.0,4.333333333333334,15.0,6.0,24.333333333333332,10.0,14.833333333333332,7.0,_,829.4033333333333,31.61978598,12.083333333333334,NM,49.22031108999994,2,0,1,0,0,1,1,0,1,0,0
Unknown,Standhampton,Fleet Street,21.0,Teacher,83164.8,4234.210555666667,1.0,5.0,9.0,4.0,14.0,14.0,17.9,7.0,_,591.1166666666668,34.97627731,28.583333333333332,Yes,573.6982439,2,0,0,1,0,0,0,1,0,1,0
April,Unknown,High Street,28.0,Unknown,9589.544999999984,617.4533332999999,8.0,7.0,33.0,5.666666666666667,21.0,18.0,13.71,11.0,Standard,1907.73,29.732200603333332,5.666666666666668,Yes,70.9203277366667,1,1,1,0,1,0,1,0,0,0,0
January,Lonton,Elm Street,35.0,Accountant,34869.29000000001,2546.978333,3.0,4.0,7.333333333333334,4.0,14.0,10.0,3.4800000000000004,3.0,Good,701.1966666666668,25.65340076,17.055555555555554,No,109.39028919000003,3,0,1,1,0,0,0,0,0,0,0
July,BadShire,North Street,29.0,Unknown,17187.270000000004,3695.841111,10.0,7.0,18.0,8.0,54.0,15.0,7.79,8.0,Bad,4962.25,31.46433492,4.027777777777779,Yes,165.91607849999997,1,1,0,0,0,1,0,1,1,1,0
August,BadShire,Queen Street,46.0,Unemployed,17708.33,2132.2324997666665,8.333333333333332,9.0,23.0,5.0,26.0,16.333333333333332,7.81,11.0,Bad,2250.37,31.045026766666666,8.36111111111111,Yes,44.607824069999936,1,1,0,0,1,0,1,0,1,1,0
August,Standhampton,New Street,33.666666666666664,Architect,10990.936666666661,924.2879167000006,7.333333333333333,6.0,28.0,7.0,35.0,22.0,15.56,9.0,Bad,2637.94,29.79417852,3.3888888888888893,Yes,23.044091270000024,2,0,1,1,0,1,1,0,0,0,0
August,Standhampton,Unknown,30.0,Architect,18694.990000000005,1342.4258329999998,9.0,5.0,21.0,7.0,55.0,20.333333333333332,7.97,12.0,Bad,1959.49,28.90956762,10.666666666666664,NM,86.12193883999998,2,1,0,0,1,1,0,0,0,1,0
August,Unknown,Fleet Street,43.0,Journalist,120450.32,9985.526667,2.0,4.333333333333334,11.0,4.0,15.0,1.6666666666666643,10.28,5.0,Good,870.6700000000001,26.50849691,25.333333333333332,No,109.6510983,3,1,0,1,1,0,1,0,0,0,0
January,Standhampton,Jubilee Street,34.333333333333336,Architect,40289.79000000001,3073.4825,5.0,6.0,9.333333333333332,2.0,11.0,8.0,-0.10999999999999943,1.666666666666667,_,1073.74,34.08815711,15.833333333333334,NM,189.9891187,2,0,0,0,1,1,0,0,0,0,0
August,Lonton,Unknown,26.666666666666668,Teacher,26299.08,2937.5088889999997,3.0,7.0,9.0,3.0,26.0,13.000000000000002,5.07,3.0,Standard,397.03999999999996,29.91143223,29.416666666666664,Yes,3464.490721726667,3,0,1,0,0,1,1,0,0,0,0
May,Standhampton,Pine Street,37.666666666666664,Teacher,49497.34,4201.778333,8.0,4.0,9.0,2.6666666666666665,12.0,7.333333333333336,-3.709999999999999,1.0,_,129.5,33.01984452,24.583333333333332,No,10000.0,2,0,1,0,1,1,0,0,0,0,0
March,Unknown,Regent Street,50.66666666666667,Scientist,102885.75,8543.8125,1.0,6.333333333333333,4.666666666666668,2.0,8.666666666666668,9.0,3.96,2.0,Good,624.01,27.84264032,24.52777777777778,NM,581.2822369,2,0,0,0,0,0,1,1,0,0,0
