Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Amount_invested_monthly,Credit_Score
30.0,83037.36,6663.78,8.0,9.0,19.0,6.0,21.0,18.0,7.46,9.0,1446.74,39.02792606,8.75,121.8907931,1
30.0,83037.36,6663.78,8.0,9.0,19.0,6.0,21.0,18.0,7.46,9.0,1446.74,29.75367685,9.0,68.79499131,2
30.0,83037.36,6663.78,8.0,9.0,19.0,6.0,21.0,16.0,7.46,9.0,1446.74,34.19942754,9.083333333333334,177.8637515,1
26.0,9029.7,938.475,7.0,6.0,29.0,3.0,7.0,19.0,16.62,10.0,2243.41,24.38963229,17.583333333333332,122.243852,1
35.0,22410.53,2071.544167,7.0,5.0,14.0,2.0,11.0,17.0,11.51,5.0,33.85,40.89726447,29.25,129.8725602,2
36.0,22410.53,2071.544167,7.0,5.0,14.0,2.0,7.0,18.0,11.51,5.0,33.85,30.51301744,29.583333333333332,121.8577412,2
36.0,22410.53,2071.544167,7.0,5.0,14.0,2.0,7.0,17.0,13.51,5.0,33.85,24.32378385,29.666666666666668,238.4680805,2
28.0,133949.36,11262.44667,5.0,5.0,8.0,0.0,0.0,5.0,-2.62,1.0,1454.68,35.79123401,18.166666666666668,812.1023141,3
26.0,41160.86,3371.071667,6.0,9.0,18.0,3.0,38.0,21.0,2.55,6.0,1972.69,33.71400533,10.833333333333334,121.5376044,1
27.0,41160.86,3371.071667,6.0,9.0,18.0,3.0,38.0,21.0,2.55,8.0,1972.69,37.64293455,11.416666666666666,291.8481481,1
40.0,35417.27,2789.439167,0.0,3.0,3.0,2.0,5.0,2.0,7.8,3.0,364.57,23.65763539,26.0,175.796777,3
36.0,69051.14,5503.261667,4.0,7.0,9.0,2.0,12.0,8.0,13.2,8.0,1396.03,25.41353041,16.166666666666668,335.3398711,2
25.0,8214890.0,9328.0175,1.0,7.0,7.0,3.0,4.0,5.0,5.91,4.0,317.32,29.27151335,29.75,107.2393347,2
19.0,13754.5,1261.208333,4.0,3.0,5.0,6.0,4.0,10.0,16.85,8.0,39.59,25.66895689,6.916666666666667,28.03411987,3
29.0,8949.695,576.8079167,8.0,9.0,18.0,9.0,29.0,21.0,8.47,10.0,4313.93,41.40413484,11.75,19.89952265,2
29.0,8949.695,576.8079167,8.0,9.0,18.0,9.0,29.0,21.0,5.47,10.0,4313.93,24.71154227,11.916666666666666,27.51688965,2
37.0,65430.0,5539.5,4.0,6.0,18.0,6.0,16.0,13.0,17.52,9.0,1380.18,23.40895049,12.833333333333334,280.9912481,2
37.0,65430.0,5539.5,4.0,6.0,18.0,6.0,16.0,15.0,17.52,12.0,1380.18,31.4987651,13.083333333333334,10000.0,1
51.0,29789.87,2287.489167,2.0,3.0,4.0,0.0,12.0,8.0,5.12,0.0,777.23,29.10131417,24.166666666666668,16.77617478,2
49.0,16523.745,1516.97875,1.0,4.0,1.0,4.0,4.0,9.0,10.06,4.0,455.49,24.99796324,25.583333333333332,146.0810546,3
31.0,30979.28,2367.606667,5.0,3.0,22.0,7.0,17.0,16.0,9.75,5.0,1317.34,27.5850301,14.25,94.86187255,1
37.0,21313.765,1590.147083,0.0,3.0,2.0,4.0,11.0,8.0,10.96,1.0,730.84,30.37041059,23.833333333333332,74.43593197,3
39.0,20226.28,1617.523333,8.0,6.0,14.0,2.0,29.0,9.0,10.79,8.0,767.58,21.86029615,8.833333333333334,162.4168266,2
39.0,20226.28,1617.523333,8.0,6.0,14.0,2.0,28.0,9.0,8.79,13.0,767.58,31.71310011,9.25,116.8418537,2
20.0,54695.22,4754.935,10.0,8.0,24.0,7.0,51.0,16.0,4.88,13.0,2667.13,40.29694101,16.916666666666668,196.0633266,1
20.0,54695.22,4754.935,10.0,8.0,24.0,7.0,51.0,16.0,8.88,13.0,2667.13,34.00139405,17.0,57.32350668,1
31.0,36779.34,2847.945,6.0,5.0,20.0,3.0,21.0,14.0,11.35,8.0,1215.19,24.88370914,10.083333333333334,174.0243793,2
29.0,30404.4,2804.7,7.0,8.0,16.0,6.0,23.0,21.0,8.69,10.0,1672.39,24.90264347,9.75,377.0337309,2
29.0,30404.4,2804.7,7.0,8.0,16.0,6.0,25.0,21.0,8.69,10.0,1672.39,25.88458927,9.916666666666666,183.4735358,1
25.0,60185.82,4762.485,7.0,5.0,14.0,6.0,9.0,10.0,14.35,6.0,1089.0,23.50971265,6.916666666666667,10000.0,2
25.0,60185.82,4762.485,7.0,5.0,14.0,6.0,8.0,10.0,14.35,6.0,1089.0,26.72921949,7.083333333333333,74.86239196,2
26.0,60185.82,4762.485,7.0,5.0,14.0,6.0,8.0,8.0,14.35,6.0,1089.0,36.49948679,7.333333333333333,304.2215281,2
31.0,90411.9,7394.325,7.0,3.0,16.0,1.0,20.0,11.0,3.97,5.0,472.21,30.77057228,30.0,388.4164703,2
18.0,76300.92,6416.41,4.0,6.0,17.0,5.0,20.0,17.0,16.55,8.0,275.51,36.516389,17.75,71.21622623,2
19.0,76300.92,6416.41,4.0,6.0,17.0,5.0,19.0,17.0,17.55,8.0,275.51,31.48905084,17.916666666666668,625.7057556,2
19.0,76300.92,6416.41,4.0,6.0,17.0,5.0,17.0,17.0,17.55,8.0,275.51,30.64454383,18.0,759.6847046,2
19.0,76300.92,6416.41,4.0,6.0,17.0,5.0,18.0,17.0,24.55,13.0,275.51,25.77028292,18.083333333333332,129.2185918,2
19.0,76300.92,6416.41,4.0,6.0,17.0,5.0,18.0,17.0,17.55,13.0,275.51,23.69179465,18.166666666666668,55.89429444,2
30.0,44120.8,3468.733333,2.0,3.0,12.0,3.0,4.0,0.0,6.46,0.0,15.47,25.86691578,27.416666666666668,300.5411173,3
30.0,44120.8,3468.733333,2.0,3.0,12.0,3.0,4.0,3.0,2.46,2.0,15.47,24.27631921,27.75,282.4953186,2
31.0,20341.87,1505.155833,8.0,9.0,34.0,7.0,29.0,18.0,20.74,10.0,4006.34,31.36852373,7.916666666666667,124.3709518,2
17.0,29198.56,2340.213333,7.0,5.0,18.0,4.0,25.0,21.0,8.61,11.0,1393.85,32.41634543,20.0,130.6802964,1
17.0,29198.56,2340.213333,7.0,5.0,18.0,4.0,28.0,24.0,9.61,11.0,1393.85,25.11167622,20.166666666666668,109.0717338,1
52.0,87636.03,7265.0025,4.0,1.0,4.0,2.0,3.0,5.0,3.38,1.0,202.96,29.4786088,29.833333333333332,103.1869537,3
52.0,87636.03,6291.992443,4.0,1.0,4.0,2.0,3.0,2.0,3.38,3.0,202.96,40.00027502,30.416666666666668,60.72935307,2
16.0,17461.98,1642.165,6.0,5.0,21.0,2.0,59.0,18.0,14.77,11.0,1405.7,27.70842918,18.583333333333332,149.3645336,1
18.0,19170.45,1510.5375,8.0,9.0,15.0,8.0,47.0,23.0,18.93,7.0,4402.46,23.13351307,9.0,150.932638,1
28.0,21414.43,1963.535833,5.0,2.0,5.0,3.0,10.0,2.0,10.58,4.0,39.47,35.1015888,25.583333333333332,81.7784073,3
28.0,21414.43,1963.535833,5.0,2.0,5.0,3.0,14.0,3.0,10.58,4.0,39.47,24.21314767,26.083333333333332,45.70977011,2
36.0,94934.94,8039.245,2.0,5.0,3.0,4.0,11.0,12.0,6.83,0.0,975.21,29.05592412,23.166666666666668,685.4954537,2
25.0,16819.98,1680.665,6.0,7.0,33.0,5.0,35.0,15.0,1.07,11.0,3048.28,28.30497892,5.083333333333333,52.83433552,1
25.0,16819.98,1680.665,6.0,7.0,33.0,5.0,31.0,18.0,1.07,11.0,3048.28,31.40093527,5.166666666666667,33.15117607,1
26.0,16819.98,1680.665,6.0,7.0,33.0,5.0,30.0,18.0,1.07,11.0,3048.28,40.10178288,5.416666666666667,117.7538037,1
23.0,61695.68,5230.306667,1.0,4.0,2.0,3.0,0.0,1.0,5.77,3.0,654.6,38.49078745,32.916666666666664,222.2500219,2
24.0,61695.68,5230.306667,1.0,4.0,2.0,3.0,0.0,4.0,5.77,3.0,654.6,39.48415389,33.166666666666664,130.0086505,2
24.0,61695.68,5230.306667,1.0,4.0,2.0,3.0,0.0,1.0,9.77,3.0,654.6,31.44070649,33.333333333333336,505.8600287,2
18.0,57683.19,4729.9325,7.0,10.0,16.0,6.0,42.0,18.0,3.31,12.0,2188.22,29.67479833,12.5,131.6912655,2
28.0,73339.92,5916.66,4.0,4.0,17.0,3.0,24.0,15.0,4.22,3.0,1444.26,39.5841286,20.666666666666668,89.73161557,2
22.0,35260.69,2839.390833,0.0,6.0,5.0,4.0,1.0,0.0,-1.16,2.0,51.5,30.6238205,29.833333333333332,185.4121576,2
43.0,64666.48,5144.873333,7.0,7.0,27.0,6.0,32.0,26.0,19.31,12.0,3556.71,35.36223712,1.75,66.83487718,1
43.0,144037.08,12222.09,6.0,6.0,9.0,2.0,27.0,8.0,11.92,0.0,696.67,28.75728661,29.0,871.5576749,2
43.0,144037.08,12222.09,6.0,6.0,9.0,2.0,27.0,10.0,10.92,3.0,696.67,38.42880288,29.416666666666668,188.5204814,2
32.0,60348.92,5245.076667,6.0,6.0,13.0,2.0,8.0,19.0,7.53,1.0,1134.8,32.78565917,15.916666666666666,497.9457053,2
41.0,60182.7,4800.225,6.0,7.0,5.0,7.0,30.0,9.0,17.86,5.0,1742.58,34.91924799,18.75,128.6295681,2
54.0,12241.57,1248.130833,6.0,6.0,12.0,3.0,21.0,19.0,3.14,1.0,89.62,26.49186622,23.5,120.6240968,2
54.0,12241.57,1248.130833,6.0,6.0,12.0,3.0,21.0,19.0,3.14,1.0,89.62,26.02319887,23.75,91.29721431,2
38.0,79631.28,6459.94,6.0,7.0,23.0,6.0,17.0,21.0,7.37,6.0,2692.66,28.10593165,15.5,49.9415221,1
43.0,68266.3,5417.858333,7.0,4.0,10.0,3.0,22.0,9.0,8.32,2.0,1145.17,38.28172528,30.25,118.2108499,3
21.0,118462.56,9702.88,2.0,3.0,2.0,2.0,2.0,8.0,3.81,3.0,1404.39,36.6996855,28.083333333333332,111.8545302,2
34.0,30132.24,2782.02,7.0,3.0,10.0,0.0,29.0,18.0,9.64,6.0,162.58,36.64859922,7.666666666666667,95.53031807,2
34.0,60788.82,4851.735,8.0,7.0,14.0,0.0,30.0,11.0,0.96,6.0,1463.41,32.14418471,16.833333333333332,573.5869252,2
28.0,17926.7,1468.891667,6.0,3.0,7.0,2.0,24.0,11.0,23.6,6.0,1137.33,39.60797363,13.083333333333334,133.7019938,2
28.0,15781959.0,1468.891667,6.0,3.0,7.0,2.0,20.0,11.0,19.6,6.0,1137.33,37.01960583,13.583333333333334,57.09922096,1
30.0,36993.43,3348.785833,0.0,4.0,2.0,2.0,10.0,5.0,1.9,0.0,1357.79,27.75769925,25.083333333333332,59.50974277,2
32.0,14219.02,1126.918333,10.0,5.0,23.0,7.0,38.0,15.0,25.86,10.0,3628.5,29.12471437,3.0,148.4360323,3
23.0,18231.52,1448.293333,6.0,5.0,15.0,9.0,35.0,17.0,1.83,7.0,1358.96,32.00486893,14.833333333333334,27.19238063,1
39.0,119312.08,9538.088084,5.0,5.0,17.0,4.0,29.0,14.0,2.27,1.0,1200.53,22.27704254,19.083333333333332,10000.0,3
39.0,59477.0,5231.416667,4.0,7.0,5.0,3.0,27.0,17.0,10.46,7.0,1721.85,40.44611759,13.583333333333334,97.40080775,2
28.0,173569.2,14672.1,1.0,5.0,11.0,2.0,8.0,3.0,5.34,0.0,190.4,35.41044898,30.416666666666668,573.7209979,3
20.0,140135.24,11380.93667,7.0,6.0,14.0,0.0,20.0,17.0,19.21,2.0,929.51,39.6191365,31.75,705.3048423,2
21.0,51477.8,4130.816667,3.0,5.0,8.0,2.0,16.0,15.0,15.84,3.0,478.17,34.24596681,17.833333333333332,129.8938467,2
39.0,47634.45,3678.5375,10.0,6.0,20.0,5.0,17.0,23.0,3.16,11.0,1626.64,25.2053234,14.333333333333334,412.6087627,1
33.0,14263.355,918.6129167,1.0,7.0,12.0,2.0,15.0,10.0,10.75,4.0,542.5,39.82692936,18.583333333333332,81.83687722,2
34.0,43436.27,3487.689167,0.0,1.0,5.0,2.0,11.0,1.0,8.19,2.0,63.92,36.20273106,17.0,128.1190527,2
34.0,43436.27,3487.689167,0.0,1.0,5.0,2.0,6.0,2.0,8.19,4.0,63.92,26.30116756,17.5,55.90130529,3
27.0,53218.86,4715.905,10.0,9.0,25.0,2.0,26.0,16.0,5.67,8.0,2623.47,35.79381603,7.75,127.8324643,1
14.0,52243.64,4421.636667,8.0,6.0,11.0,1.0,15.0,11.0,11.61,8.0,1336.5,30.77070256,22.0,145.9773189,2
48.0,123299.12,10209.92667,2.0,2.0,8.0,3.0,12.0,1.0,11.26,2.0,845.47,43.90296255,19.416666666666668,158.8511948,3
49.0,123299.12,10209.92667,2.0,2.0,8.0,3.0,12.0,1.0,7.26,7.0,845.47,36.70496394,19.75,122.6553332,3
24.0,42147.89,3283.324167,5.0,4.0,2.0,2.0,4.0,9.0,2.02,2.0,333.7,25.21720129,22.916666666666668,129.373182,3
24.0,42147.89,3283.324167,5.0,4.0,2.0,2.0,3.0,12.0,2.02,2.0,333.7,28.63014316,23.0,111.4304406,3
24.0,42147.89,3283.324167,5.0,4.0,2.0,2.0,9.0,9.0,2.02,7.0,333.7,34.53587667,23.333333333333332,219.0372704,3
37.0,54842.58,4734.215,8.0,9.0,29.0,7.0,29.0,17.0,25.94,11.0,3475.69,41.43855503,2.4166666666666665,104.0869602,1
37.0,54842.58,4734.215,8.0,9.0,29.0,7.0,29.0,18.0,25.94,11.0,3475.69,37.60690637,2.75,82.24862435,1
44.0,52616.28,4279.69,7.0,10.0,27.0,4.0,54.0,20.0,12.52,8.0,2592.58,27.80785781,19.333333333333332,138.6541333,1
45.0,52616.28,4279.69,7.0,10.0,27.0,4.0,54.0,19.0,12.52,10.0,2592.58,35.50782135,19.75,214.1224667,1
14.0,46175.49,4098.9575,6.0,6.0,18.0,4.0,42.0,25.0,8.11,7.0,2488.96,21.91173691,11.333333333333334,433.0898652,1
14.0,46175.49,4098.9575,6.0,6.0,18.0,4.0,36.0,25.0,8.11,7.0,2488.96,39.44135679,11.416666666666666,300.1778089,1
25.0,14402.52,1347.21,6.0,6.0,28.0,8.0,52.0,13.0,26.86,13.0,4789.5,36.73976714,7.75,109.5648484,1
27.0,19653.61,1800.800833,9.0,5.0,25.0,7.0,24.0,20.0,19.67,11.0,3838.0,36.90618642,13.416666666666666,188.1182574,1
27.0,19653.61,1800.800833,9.0,5.0,25.0,7.0,25.0,18.0,19.67,11.0,3838.0,33.72087362,13.583333333333334,46.4990909,1
41.0,39540.78,3410.065,8.0,7.0,25.0,7.0,47.0,15.0,26.32,13.0,3506.0,31.00403925,10.416666666666666,28.25068702,2
42.0,39540.78,3410.065,8.0,7.0,25.0,7.0,47.0,18.0,26.32,13.0,3506.0,30.579849,10.75,42.8004283,2
31.0,142737.36,11656.78,1.0,2.0,4.0,3.0,9.0,6.0,9.64,2.0,1184.81,34.07996777,24.416666666666668,410.8832492,3
29.0,15827.06,1422.921667,9.0,9.0,29.0,6.0,20.0,19.0,5.41,14.0,2396.06,29.60525053,10.333333333333334,183.6659524,1
35.0,19703.09,1563.924167,9.0,9.0,22.0,7.0,32.0,15.0,21.51,11.0,2677.04,23.68199992,5.916666666666667,103.1011249,2
40.0,92201.25,7590.4375,3.0,7.0,15.0,1.0,25.0,14.0,7.38,5.0,1020.05,41.00302118,11.333333333333334,162.9959353,2
41.0,7536373.0,5608.9425,6.0,6.0,12.0,2.0,17.0,10.0,0.99,3.0,9.65,38.16453478,26.416666666666668,369.3945382,2
29.0,44913.34,3480.778333,2.0,1.0,5.0,0.0,16.0,2.0,-2.43,0.0,552.97,30.68915823,31.416666666666668,262.3679856,3
29.0,44913.34,3480.778333,2.0,1.0,5.0,0.0,13.0,3251.0,0.57,4.0,552.97,38.57209206,31.583333333333332,75.40340474,3
39.0,64734.84,5556.57,2.0,4.0,7.0,4.0,13.0,1.0,13.8,3.0,593.94,41.30996033,17.416666666666668,202.9817335,1
40.0,64734.84,5556.57,1.0,3.0,7.0,4.0,9.0,3.0,8.8,4.0,593.94,36.38976227,17.833333333333332,391.7003133,1
40.0,64734.84,5556.57,1.0,3.0,7.0,4.0,11.0,1.0,8.8,4.0,593.94,23.94098586,17.916666666666668,306.1582719,1
40.0,64734.84,5556.57,1.0,3.0,7.0,4.0,9.0,1.0,6.8,4.0,593.94,39.95432766,18.0,215.6551352,2
47.0,85953.88,7140.823333,3.0,3.0,16.0,4.0,23.0,18.0,15.55,9.0,649.07,27.12889687,29.0,115.21595,2
33.0,90701.28,7654.44,1.0,5.0,11.0,0.0,11.0,2.0,8.26,1.0,270.76,31.86494217,21.833333333333332,635.9652836,1
27.0,132662.22,10872.185,0.0,6.0,5.0,4.0,27.0,1.0,11.63,3.0,1493.5,25.37886792,17.75,1211.602473,1
21.0,19553.805,1465.48375,4.0,1.0,9.0,3.0,10.0,1.0,10.44,0.0,141.94,32.16417299,28.833333333333332,155.3677587,3
21.0,19553.805,1465.48375,4.0,1.0,9.0,3.0,10.0,1.0,10.44,0.0,141.94,24.38067853,29.166666666666668,137.1836011,3
51.0,93847.86,7599.655,3.0,4.0,12.0,3.0,14.0,8.0,11.52,1.0,1405.22,29.7099579,16.0,145.6724192,2
24.0,96540.69,8068.0575,4.0,3.0,9.0,0.0,8.0,3.0,7.39,4.0,582.53,33.32907837,15.25,203.571352,3
36.0,19567.0,1681.583333,7.0,10.0,28.0,7.0,25.0,23.0,8.77,6.0,2202.33,35.48172235,18.0,37.98396102,1
36.0,19567.0,1681.583333,7.0,10.0,28.0,7.0,25.0,21.0,8.77,6.0,2202.33,36.13430891,18.166666666666668,127.9322523,1
51.0,106876.77,9149.3975,4.0,5.0,12.0,1.0,17.0,20.0,11.24,2.0,356.07,42.23104285,28.833333333333332,332.4826466,3
19.0,35221.43,3156.119167,5.0,3.0,1.0,4.0,26.0,2.0,3.66,0.0,624.7,31.80622983,28.75,122.8355722,1
20.0,35221.43,3156.119167,5.0,3.0,1.0,4.0,23.0,2.0,10.66,0.0,624.7,25.12238242,29.166666666666668,68.57679772,1
41.0,72617.54999999999,5996.4625,3.0,4.0,5.0,2.0,22.0,15.0,3.02,2.0,1475.91,39.53536168,28.0,168.0900092,1
30.0,48053.61,3917.4675,7.0,8.0,17.0,5.0,57.0,20.0,7.85,9.0,2141.5,24.76668804,19.916666666666668,187.6902108,2
53.0,32276.42,2958.701667,5.0,6.0,17.0,1.0,22.0,17.0,14.03,3.0,615.38,34.21863452,31.666666666666668,398.1206793,2
53.0,32276.42,2958.701667,5.0,6.0,17.0,1.0,24.0,18.0,9.03,3.0,615.38,32.26931722,31.916666666666668,288.6625775,2
25.0,42812.02,3604.840962,5.0,5.0,10.0,5.0,5.0,18.0,8.69,5.0,144.39,34.57232695,7.083333333333333,231.2163314,2
48.0,17620.615,1414.384583,0.0,5.0,4.0,4.0,7.0,11.0,4.44,2.0,1086.69,26.00407448,15.833333333333334,94.00471147,1
28.0,66575.2,5631.933333,5.0,4.0,2.0,2.0,12.0,2.0,2.96,6.0,985.64,38.16093401,17.083333333333332,89.40645258,3
38.0,48755.5,3801.958333,5.0,6.0,1.0,2.0,24.0,13.0,1.46,3.0,918.88,28.87237816,20.833333333333332,52.16614352,2
47.0,114201.56,9368.796667,3.0,7.0,12.0,1.0,6.0,9.0,-1.74,1.0,1490.4,30.50271467,27.166666666666668,1162.73235,2
33.0,133057.89,10815.1575,5.0,7.0,8.0,4.0,10.0,3.0,3.76,3.0,1344.45,38.43750738,21.833333333333332,218.0242445,3
23.0,20835.39,1707.2825,3.0,3.0,1.0,4.0,15.0,12.0,11.64,3.0,1491.94,26.49244625,22.416666666666668,144.2822937,1
23.0,20835.39,1707.2825,3.0,3.0,1.0,4.0,20.0,15.0,17.64,3.0,1491.94,33.30137634,22.5,93.13445128,2
47.0,15624.68,1504.056667,7.0,4.0,17.0,1.0,26.0,10.0,2.26,4.0,274.91,26.39171527,25.25,49.97502488,2
21.0,50352.09,4315.0075,3.0,7.0,15.0,2.0,7.0,9.0,18.13,7.0,1385.99,26.13691308,17.25,10000.0,2
38.0,76223.58,6416.965,5.0,5.0,3.0,0.0,12.0,4.0,0.8,5.0,1292.43,41.17884266,27.166666666666668,97.80240845,3
41.0,99600.92,6884.799215,6.0,3.0,9.0,1.0,24.0,9.0,10.29,3.0,490.95,24.13161669,27.166666666666668,632.6003963,2
41.0,22694.46,1941.205,3.0,3.0,19.0,2.0,10.0,10.0,2.59,4.0,679.1,32.84268677,18.0,75.18918036,2
20.0,28187.35,2201.945833,6.0,5.0,12.0,4.0,8.0,14.0,15.09,4.0,321.76,34.34628284,15.75,71.55750533,2
21.0,28187.35,2201.945833,6.0,5.0,12.0,4.0,8.0,12.0,15.09,9.0,321.76,33.98690139,16.083333333333332,240.193501,2
16.0,36964.08,3032.067813,7.0,7.0,28.0,7.0,27.0,18.0,23.07,6.0,4968.99,26.96092803,12.916666666666666,212.0154403,2
16.0,36964.08,3032.067813,7.0,7.0,28.0,7.0,31.0,21.0,19.07,6.0,4968.99,31.40036436,13.0,102.2923344,2
25.0,36943.98,3369.665,7.0,9.0,34.0,8.0,53.0,12.0,19.98,10.0,4735.18,34.90223365,14.166666666666666,94.5675391,2
25.0,36943.98,3369.665,7.0,9.0,34.0,8.0,55.0,14.0,19.98,10.0,4735.18,29.04279148,14.25,301.1337846,2
35.0,61461.18,4834.765,6.0,6.0,34.0,9.0,56.0,22.0,3.5,12.0,4299.1,29.20019602,5.5,53.01601671,1
27.0,26396.88,2356.74,3.0,7.0,2.0,2.0,29.0,21.0,5.63,0.0,504.18,33.29616637,18.833333333333332,62.19928666,1
38.0,86775.4,7116.283333,4.0,7.0,7.0,1.0,18.0,18.0,11.49,3.0,1421.81,26.61555455,26.25,487.8239479,2
23.0,101926.95,8635.9125,4.0,4.0,9.0,1.0,13.0,9.0,4.26,2.0,1058.0,26.3456463,20.083333333333332,10000.0,2
40.0,83079.72,6734.31,6.0,3.0,5.0,3.0,8.0,13.0,21.96,6.0,780.22,32.30711125,14.833333333333334,633.9903751,2
46.0,38873.01,3287.4175,5.0,7.0,12.0,4.0,12.0,13.0,5.42,4.0,17.87,29.92662539,27.916666666666668,349.4711528,3
41.0,10094.05,609.1708333,7.0,7.0,18.0,2.0,7.0,13.0,17.91,2.0,695.09,33.04690763,17.333333333333332,10000.0,2
27.0,15155.81,1181.984167,7.0,4.0,33.0,3.0,22.0,11.0,8.3,7.0,1970.9,28.00790687,14.333333333333334,99.46077649,1
23.0,96148.05,7875.3375,4.0,5.0,20.0,4.0,12.0,19.0,8.16,4.0,1244.79,38.88066482,27.416666666666668,192.6497141,2
17.0,60078.27,4758.5225,5.0,7.0,11.0,4.0,8.0,9.0,7.72,9.0,2198.8,39.55290483,15.833333333333334,113.2949579,1
55.0,15173.47,1155.455833,4.0,5.0,20.0,3.0,24.0,12.0,9.45,7.0,313.08,29.39462632,31.5,151.9703978,2
36.0,16364.675,1661.722917,8.0,5.0,12.0,2.0,9.0,9.0,9.92,0.0,60.17,34.85127154,16.0,66.36089195,2
35.0,134737.59,9501.115433,1.0,7.0,7.0,0.0,11.0,11.0,4.13,2.0,1275.51,33.74299055,32.333333333333336,1133.589888,3
54.0,133931.61,11369.9675,0.0,5.0,7.0,3.0,5.0,2.0,6.66,1.0,1122.87,29.86141125,19.333333333333332,194.6101264,2
19.0,91117.72,7494.143333,8.0,4.0,19.0,0.0,22.0,20.0,7.69,0.0,1465.86,42.87970101,19.583333333333332,95.53538421,2
28.0,19939.92,1719.66,8.0,8.0,21.0,6.0,22.0,21.0,4.39,11.0,4211.46,38.37380441,13.5,146.8771388,1
29.0,16798.15,1544.845833,5.0,6.0,16.0,3.0,7.0,14.0,18.75,6.0,2266.73,31.97454269,8.916666666666666,103.3879686,2
27.0,32424.34,2561.028333,3.0,5.0,5.0,0.0,9.0,17.0,10.46,4.0,159.9,26.37938743,18.333333333333332,240.9924813,2
27.0,32424.34,2561.028333,3.0,5.0,5.0,0.0,9.0,20.0,10.46,4.0,159.9,36.16635484,18.416666666666668,217.010156,2
24.0,38684.2,3423.683333,7.0,5.0,16.0,3.0,24.0,20.0,16.24,8.0,1464.16,34.16699637,5.833333333333333,431.0222372,1
29.0,61880.06,5411.671667,7.0,5.0,7.0,0.0,9.0,17.0,11.8,8.0,370.58,23.12246295,24.166666666666668,465.6855067,2
17.0,60877.17,5218.0975,6.0,8.0,27.0,8.0,46.0,16.0,5.82,8.0,1300.13,36.01047642,12.583333333333334,305.0782977,1
17.0,60877.17,5218.0975,6.0,8.0,27.0,8.0,46.0,14.0,12.82,13.0,1300.13,37.60525147,12.833333333333334,185.3490388,1
37.0,34739.35,2909.945833,8.0,3.0,10.0,3.0,30.0,17.0,19.7,8.0,1408.63,36.75303938,21.916666666666668,55.99579449,3
37.0,34739.35,2909.945833,8.0,3.0,10.0,3.0,21.0,17.0,19.7,8.0,1408.63,35.14311627,22.166666666666668,171.9496813,2
31.0,20825.75,1770.479167,6.0,5.0,33.0,3.0,21.0,11.0,7.3,11.0,2116.54,38.02264728,15.666666666666666,79.28953456,1
24.0,24131.57,2144.964167,7.0,7.0,13.0,2.0,18.0,5.0,-5.49,0.0,1246.66,32.13639103,17.083333333333332,220.2566999,2
24.0,24131.57,2144.964167,7.0,7.0,13.0,2.0,17.0,8.0,1.51,0.0,1246.66,29.08580034,17.333333333333332,87.53215017,2
38.0,61190.52,4858.21,1.0,6.0,1.0,4.0,10.0,3.0,10.31,2.0,1348.97,28.96056831,25.416666666666668,628.3783258,2
25.0,14441.51,1453.459167,9.0,8.0,26.0,2.0,15.0,17.0,9.85,8.0,1336.31,37.01941897,13.0,127.3513283,1
25.0,14441.51,1453.459167,9.0,8.0,26.0,2.0,15.0,15.0,9.85,8.0,1336.31,39.49295586,13.083333333333334,70.8165332,1
31.0,8053.435,706.1195833,6.0,6.0,21.0,8.0,17.0,20.0,28.4,9.0,4254.09,37.29225062,6.666666666666667,93.70291168,1
44.0,128331.42,10688.285,0.0,3.0,8.0,2.0,7.0,11.0,3.33,2.0,462.96,28.73009069,28.916666666666668,236.5847268,1
44.0,128331.42,10688.285,0.0,3.0,8.0,2.0,5.0,9.0,-0.67,2.0,462.96,32.34386457,29.25,419.4403302,2
16.0,60532.5,4892.375,6.0,3.0,5.0,4.0,5.0,17.0,16.54,9.0,1475.77,27.04697533,6.833333333333333,473.8581648,2
52.0,43312.78,3423.398333,4.0,1.0,3.0,1.0,11.0,6.0,3.24,2.0,208.96,28.86313284,18.666666666666668,85.53246049,3
52.0,43312.78,3423.398333,4.0,1.0,3.0,1.0,11.0,6.0,3.24,2.0,208.96,38.68578089,18.833333333333332,39.28337845,3
35.0,19562.47,1713.205833,3.0,3.0,9.0,3.0,8.0,9.0,19.35,10.0,712.22,24.98433826,9.333333333333334,124.5245839,2
46.0,133214.25,11166.1875,3.0,3.0,2.0,3.0,10.0,11.0,9.48,1.0,68.18,25.49965101,19.0,273.3685486,2
47.0,133214.25,11166.1875,3.0,3.0,2.0,3.0,10.0,11.0,9.48,6.0,68.18,36.37546543,19.166666666666668,298.325119,3
36.0,107392.74,8681.395,5.0,5.0,6.0,1.0,28.0,20.0,7.69,4.0,248.84,24.60840023,19.833333333333332,850.9468578,2
31.0,55197.81,4708.8175,6.0,4.0,23.0,2.0,20.0,20.0,8.17,4.0,1931.66,33.24620064,7.666666666666667,179.7101539,1
31.0,55197.81,4708.8175,6.0,4.0,23.0,2.0,20.0,19.0,8.17,7.0,1931.66,28.70383494,7.75,303.5202671,1
